100.0,0.28131699562072754,HOPE
166.81005372000593,0.3362751007080078,HOPE
278.2559402207126,0.47044944763183594,HOPE
464.15888336127773,0.7600264549255371,HOPE
774.263682681127,1.0190739631652832,HOPE
1291.549665014884,2.6557419300079346,HOPE
2154.4346900318824,6.481465101242065,HOPE
3593.813663804626,16.383128881454468,HOPE
5994.8425031894085,44.212355613708496,HOPE
10000.0,143.4776349067688,HOPE
100.0,0.1382441520690918,HOPE
166.81005372000593,0.2397608757019043,HOPE
278.2559402207126,0.37346386909484863,HOPE
464.15888336127773,0.5564424991607666,HOPE
774.263682681127,1.0043847560882568,HOPE
1291.549665014884,2.6034207344055176,HOPE
2154.4346900318824,6.315640449523926,HOPE
3593.813663804626,15.881409645080566,HOPE
5994.8425031894085,40.621641874313354,HOPE
10000.0,146.08472442626953,HOPE
100.0,0.20843815803527832,HOPE
166.81005372000593,0.22603154182434082,HOPE
278.2559402207126,0.36473679542541504,HOPE
464.15888336127773,0.5367586612701416,HOPE
774.263682681127,1.0207972526550293,HOPE
1291.549665014884,2.801450490951538,HOPE
2154.4346900318824,6.581343412399292,HOPE
3593.813663804626,15.890973329544067,HOPE
5994.8425031894085,42.88649368286133,HOPE
10000.0,142.82781386375427,HOPE
100.0,0.13985300064086914,HOPE
166.81005372000593,0.2323775291442871,HOPE
278.2559402207126,0.3539748191833496,HOPE
464.15888336127773,0.5770692825317383,HOPE
774.263682681127,1.1639325618743896,HOPE
1291.549665014884,2.6776530742645264,HOPE
2154.4346900318824,6.702135324478149,HOPE
3593.813663804626,15.590574979782104,HOPE
5994.8425031894085,43.749738693237305,HOPE
10000.0,144.57761669158936,HOPE
100.0,0.20851778984069824,HOPE
166.81005372000593,0.22748994827270508,HOPE
278.2559402207126,0.3393075466156006,HOPE
464.15888336127773,0.593705415725708,HOPE
774.263682681127,1.0295131206512451,HOPE
1291.549665014884,2.774219274520874,HOPE
2154.4346900318824,6.316020488739014,HOPE
3593.813663804626,16.10804295539856,HOPE
5994.8425031894085,44.38204526901245,HOPE
10000.0,141.3044638633728,HOPE
100.0,0.19693207740783691,HOPE
166.81005372000593,0.23308825492858887,HOPE
278.2559402207126,0.43416857719421387,HOPE
464.15888336127773,0.5416922569274902,HOPE
774.263682681127,1.0023038387298584,HOPE
1291.549665014884,2.832758665084839,HOPE
2154.4346900318824,6.318629503250122,HOPE
3593.813663804626,15.58342957496643,HOPE
5994.8425031894085,44.43816876411438,HOPE
10000.0,147.51748943328857,HOPE
100.0,0.14493727684020996,HOPE
166.81005372000593,0.23417377471923828,HOPE
278.2559402207126,0.35100626945495605,HOPE
464.15888336127773,0.5701150894165039,HOPE
774.263682681127,1.0426223278045654,HOPE
1291.549665014884,2.7037158012390137,HOPE
2154.4346900318824,6.938737869262695,HOPE
3593.813663804626,15.98954963684082,HOPE
5994.8425031894085,44.82651162147522,HOPE
10000.0,147.63983488082886,HOPE
100.0,0.19887948036193848,HOPE
166.81005372000593,0.27921223640441895,HOPE
278.2559402207126,0.41584038734436035,HOPE
464.15888336127773,0.5629234313964844,HOPE
774.263682681127,1.075178861618042,HOPE
1291.549665014884,2.778759479522705,HOPE
2154.4346900318824,6.256804704666138,HOPE
3593.813663804626,21.310794353485107,HOPE
5994.8425031894085,48.80017042160034,HOPE
10000.0,147.28027415275574,HOPE
100.0,0.21274685859680176,HOPE
166.81005372000593,0.2535886764526367,HOPE
278.2559402207126,0.3322887420654297,HOPE
464.15888336127773,0.5543568134307861,HOPE
774.263682681127,1.0148720741271973,HOPE
1291.549665014884,2.771346092224121,HOPE
2154.4346900318824,6.4451212882995605,HOPE
3593.813663804626,16.331956386566162,HOPE
5994.8425031894085,42.20067524909973,HOPE
10000.0,138.86255764961243,HOPE
