,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr
0,london,1,1,{'imb'},0.05,1.871801777934199,[[0.]],0.8044692737430168,0.5,0.9022346368715084
1,london,1,1,{'imb'},0.05,2.5649482525923455,[[0.]],0.8022284122562674,0.5,0.9011142061281336
2,london,1,1,{'imb'},0.05,1.871801777934199,[[0.]],0.8044692737430168,0.5,0.9022346368715084
3,london,1,1,{'imb'},0.05,1.098610657628808,[[0.]],0.8095238095238095,0.5,0.9047619047619048
4,london,1,1,{'imb'},0.05,0.5108351598025682,[[0.]],0.8151260504201681,0.5,0.907563025210084
5,london,1,1,{'imb'},0.05,2.63905489507891,[[0.]],0.8016759776536313,0.5,0.9008379888268156
6,london,1,1,{'imb'},0.05,1.3217556559337094,[[0.]],0.807909604519774,0.5,0.903954802259887
7,london,1,1,{'imb'},0.05,1.734601000257094,[[0.]],0.8045325779036827,0.5,0.9022662889518414
8,london,1,1,{'imb'},0.05,1.8458264093455143,[[0.]],0.8034188034188035,0.5,0.9017094017094017
9,london,1,1,{'imb'},0.05,1.3862937560267037,[[0.]],0.8073654390934845,0.5,0.9036827195467423
10,london,1,1,{'imb'},0.14,1.5040737902903323,[[0.]],0.8054711246200608,0.5,0.9027355623100304
11,london,1,1,{'imb'},0.14,1.3062515193122533,[[0.]],0.8108974358974359,0.5,0.905448717948718
12,london,1,1,{'imb'},0.14,1.4586131225818542,[[0.]],0.80625,0.5,0.903125
13,london,1,1,{'imb'},0.14,1.4916518337139155,[[0.]],0.8055555555555556,0.5,0.9027777777777778
14,london,1,1,{'imb'},0.14,1.163141660702985,[[0.]],0.8126888217522659,0.5,0.9063444108761329
15,london,1,1,{'imb'},0.14,1.9740795884793618,[[0.]],0.7981927710843374,0.5,0.8990963855421688
16,london,1,1,{'imb'},0.14,1.1221394289220938,[[0.]],0.8164556962025317,0.5,0.9082278481012658
17,london,1,1,{'imb'},0.14,1.7917593382745631,[[0.]],0.8006042296072508,0.5,0.9003021148036254
18,london,1,1,{'imb'},0.14,0.9903955819396421,[[0.]],0.8184615384615385,0.5,0.9092307692307693
19,london,1,1,{'imb'},0.14,1.6582280609905389,[[0.]],0.8018575851393189,0.5,0.9009287925696594
20,london,1,1,{'imb'},0.22999999999999998,1.1298606919547693,[[0.]],0.8222996515679443,0.5,0.9111498257839721
21,london,1,1,{'imb'},0.22999999999999998,1.443451259459314,[[0.]],0.8063380281690141,0.5,0.903169014084507
22,london,1,1,{'imb'},0.22999999999999998,1.2527629284574868,[[0.]],0.815068493150685,0.5,0.9075342465753424
23,london,1,1,{'imb'},0.22999999999999998,1.2685112670813157,[[0.]],0.8144329896907216,0.5,0.9072164948453608
24,london,1,1,{'imb'},0.22999999999999998,1.5234908135443415,[[0.]],0.802158273381295,0.5,0.9010791366906474
25,london,1,1,{'imb'},0.22999999999999998,1.3437344646960523,[[0.]],0.8111888111888111,0.5,0.9055944055944056
26,london,1,1,{'imb'},0.22999999999999998,1.400892387328575,[[0.]],0.8083623693379791,0.5,0.9041811846689896
27,london,1,1,{'imb'},0.22999999999999998,2.051267208792898,[[0.]],0.7857142857142857,0.5,0.8928571428571428
28,london,1,1,{'imb'},0.22999999999999998,1.7777731206768121,[[0.]],0.7931034482758621,0.5,0.896551724137931
29,london,1,1,{'imb'},0.22999999999999998,1.049821947544117,[[0.]],0.8253424657534246,0.5,0.9126712328767124
30,london,1,1,{'imb'},0.32,1.3660912286121685,[[0.]],0.812,0.5,0.906
31,london,1,1,{'imb'},0.32,1.4370653114877645,[[0.]],0.8064516129032258,0.5,0.9032258064516129
32,london,1,1,{'imb'},0.32,1.5505974103578535,[[0.]],0.7984189723320159,0.5,0.8992094861660079
33,london,1,1,{'imb'},0.32,1.8101084372222032,[[0.]],0.7795918367346939,0.5,0.889795918367347
34,london,1,1,{'imb'},0.32,1.499231395394225,[[0.]],0.8016194331983806,0.5,0.9008097165991903
35,london,1,1,{'imb'},0.32,1.1451323028624063,[[0.]],0.8287937743190662,0.5,0.9143968871595332
36,london,1,1,{'imb'},0.32,1.7376921900919349,[[0.]],0.7845528455284553,0.5,0.8922764227642277
37,london,1,1,{'imb'},0.32,1.7311347952058764,[[0.]],0.7884615384615384,0.5,0.8942307692307692
38,london,1,1,{'imb'},0.32,1.189584059937118,[[0.]],0.8260869565217391,0.5,0.9130434782608696
39,london,1,1,{'imb'},0.32,1.2629152887860762,[[0.]],0.8211382113821138,0.5,0.910569105691057
40,london,1,1,{'imb'},0.41,1.4663349420422285,[[0.]],0.8034934497816594,0.5,0.9017467248908297
41,london,1,1,{'imb'},0.41,1.1647520881545113,[[0.]],0.8421052631578947,0.5,0.9210526315789473
42,london,1,1,{'imb'},0.41,1.386293756026704,[[0.]],0.8119266055045872,0.5,0.9059633027522935
43,london,1,1,{'imb'},0.41,1.4271151769890476,[[0.]],0.8073394495412844,0.5,0.9036697247706422
44,london,1,1,{'imb'},0.41,1.3625774353042899,[[0.]],0.8148148148148148,0.5,0.9074074074074074
45,london,1,1,{'imb'},0.41,1.2039727935603235,[[0.]],0.8341013824884793,0.5,0.9170506912442397
46,london,1,1,{'imb'},0.41,1.6436292651030233,[[0.]],0.7878787878787878,0.5,0.8939393939393939
47,london,1,1,{'imb'},0.41,1.57307026503816,[[0.]],0.7904761904761904,0.5,0.8952380952380952
48,london,1,1,{'imb'},0.41,1.469673738255296,[[0.]],0.804,0.5,0.902
49,london,1,1,{'imb'},0.41,1.193103124344855,[[0.]],0.8364485981308412,0.5,0.9182242990654206
50,london,1,1,{'imb'},0.49999999999999994,1.4223982713363341,[[0.]],0.8080808080808081,0.5,0.904040404040404
51,london,1,1,{'imb'},0.49999999999999994,1.3621964130762794,[[0.]],0.8203592814371258,0.5,0.9101796407185629
52,london,1,1,{'imb'},0.49999999999999994,1.4195189631203124,[[0.]],0.8087431693989071,0.5,0.9043715846994536
53,london,1,1,{'imb'},0.49999999999999994,1.5040773960126943,[[0.]],0.7926829268292683,0.5,0.8963414634146342
